Placa,Fecha,Hora,Latitud,Longitud,Deviceid,Taller Molina,Proveedor,Region
CCC-624,2023-01-26,18:11,-10.972928,-77.645668,b7,False,Geotab,Lima
CCE-546,2023-01-26,18:11,-12.0423164,-77.0168839,b1,False,Geotab,Lima
CCC-683,2023-01-26,18:10,-11.9748859,-77.100441,bB,False,Geotab,Lima
CCE-038,2023-01-26,18:09,-12.0466433,-77.034111,b3,False,Geotab,Lima
CCF-560,2023-01-26,18:06,-12.0762367,-77.0879745,b5,False,Geotab,Lima
Mitsui CBN-633 Rav4,2023-01-03,16:04,-12.0845566,-76.97892,b3,False,Geotab,Lima
Mitsui CBN-054 Prado,2023-01-03,16:02,-12.1030655,-77.042099,b1,False,Geotab,Lima
Mitsui CBN-632 4runner,2023-01-03,15:54,-12.1148672,-77.0406647,b2,False,Geotab,Lima
BSA-844,2023-01-26,18:36,-6.56279039,-78.6488571,b3,False,Geotab,Cajamarca
BSA-857,2023-01-26,18:35,-5.66351366,-78.6831894,b4,False,Geotab,Cajamarca
CBP-165,2023-01-26,18:35,-11.8713083,-77.1276321,bA,False,Geotab,Callao
BSA-882,2023-01-26,18:35,-7.1547904,-78.5164566,b5,False,Geotab,Cajamarca
CBQ-411,2023-01-26,18:34,-12.2255363,-76.9414902,bB,False,Geotab,Lima
CBO-616,2023-01-26,18:33,-12.1702652,-76.9683685,b9,False,Geotab,Lima
BSA-723,2023-01-26,18:32,-16.4253445,-71.5643158,b1,False,Geotab,Arequipa
BSA-805,2023-01-26,18:21,-8.13537312,-79.0415115,b2,False,Geotab,La Libertad
CBK-484,2023-01-26,18:17,-12.1677055,-76.9508133,b8,False,Geotab,Lima
CBK-240,2023-01-26,18:17,-12.0480766,-77.0003433,b7,False,Geotab,Lima
BSB-836,2023-01-26,11:42,-15.86903,-69.9910889,b6,False,Geotab,Puno
