Alias,Fecha Ultima Localizacion,Latitud,Longitud,Direccion,Placa,Taller Molina,Region,Fecha,Hora,Proveedor
BZH-645,2023-01-26 17:48:31,-12.1055,-76.938,"ALAMEDA DE LOS VIRREYES,LA MOLINA,LIMA",BZH-645,False,Lima,2023-01-26,17:48,Hunter
BZJ-519,2023-01-26 18:27:29,-12.1368,-77.0098,"AVENIDA LA MERCED,SANTIAGO DE SURCO,LIMA",BZJ-519,False,Lima,2023-01-26,18:27,Hunter
BZP-061,2023-01-26 15:37:21,-12.1178,-77.0438,"AVENIDA DEL EJERCITO,MIRAFLORES,LIMA",BZP-061,False,Lima,2023-01-26,15:37,Hunter
BZP-470,2023-01-26 09:31:47,-12.1185,-77.0432,"AVENIDA DEL EJERCITO,MIRAFLORES,LIMA",BZP-470,False,Lima,2023-01-26,09:31,Hunter
BZR-334,2023-01-26 17:15:21,-12.1088,-76.988,"CALLE BUEN RETIRO,SAN BORJA,LIMA",BZR-334,False,Lima,2023-01-26,17:15,Hunter
BZS-032,2023-01-26 18:36:41,-12.0939,-76.9677,"AVENIDA EL GOLF LOS INCAS,SANTIAGO DE SURCO,LIMA",BZS-032,False,Lima,2023-01-26,18:36,Hunter
BZS-293,2023-01-26 15:39:58,-12.2139,-77.0065,"AVENIDA ALAMEDA LA ENCANTADA,CHORRILLOS,LIMA",BZS-293,False,Lima,2023-01-26,15:39,Hunter
BZU-208,2023-01-26 18:36:55,-4.84042,-80.807,"PANAMERICANA NORTE CENTRO POBLADO LA GOLONDRINA,IGNACIO ESCUDERO,PIURA",BZU-208,False,Piura,2023-01-26,18:36,Hunter
BZU-348,2023-01-25 18:42:35,-12.0943,-77.0461,"CALLE LOS LAURELES,SAN ISIDRO,LIMA",BZU-348,False,Lima,2023-01-25,18:42,Hunter
BZU-546,2023-01-26 18:28:22,-12.0796,-76.9828,"JIRON LOS CAPULIES,ATE,LIMA",BZU-546,False,Lima,2023-01-26,18:28,Hunter
BZV-048,2023-01-26 18:36:59,-12.1198,-77.0242,"AVENIDA RICARDO PALMA,MIRAFLORES,LIMA",BZV-048,False,Lima,2023-01-26,18:36,Hunter
BZV-347,2023-01-26 18:15:38,-12.0897,-77.0042,"(-12.0896,-77.0042),SAN BORJA,LIMA",BZV-347,False,Lima,2023-01-26,18:15,Hunter
BZV-621,2022-11-25 23:28:32,-12.0745,-76.9484,"SALCANTAY,LA MOLINA,LIMA",BZV-621,False,Lima,2022-11-25,23:28,Hunter
BZW-591,2023-01-26 17:52:27,-12.0716,-76.9539,"LOS JILGEROS,LA MOLINA,LIMA",BZW-591,True,Lima,2023-01-26,17:52,Hunter
CAA-541,2023-01-26 08:56:31,-12.1141,-76.9819,"CONDE DE LA VEGA,SANTIAGO DE SURCO,LIMA",CAA-541,False,Lima,2023-01-26,08:56,Hunter
CAB-259,2023-01-26 18:30:53,-12.0743,-76.9642,"AVENIDA LOS FRUTALES,LA MOLINA,LIMA",CAB-259,False,Lima,2023-01-26,18:30,Hunter
CAD-502,2023-01-26 18:15:46,-11.9794,-77.0672,"HUANCHAY,LOS OLIVOS,LIMA",CAD-502,False,Lima,2023-01-26,18:15,Hunter
CAD-674,2023-01-26 18:35:29,-14.065,-75.7345,"JOSE MATIAS MANZANILLA,ICA,ICA",CAD-674,False,Ica,2023-01-26,18:35,Hunter
CAE-003,2023-01-26 18:30:46,-11.9908,-77.0737,"LOS CASTANOS,LOS OLIVOS,LIMA",CAE-003,False,Lima,2023-01-26,18:30,Hunter
CAE-583,2023-01-26 17:41:07,-16.3711,-71.5442,"(-16.3710,-71.5441),CAYMA,AREQUIPA",CAE-583,False,Arequipa,2023-01-26,17:41,Hunter
CAG-225,2023-01-24 18:02:44,-12.0888,-76.9578,"JIRON LAS ORQUIDEAS,LA MOLINA,LIMA",CAG-225,False,Lima,2023-01-24,18:02,Hunter
CAG-444,2023-01-26 06:04:28,-12.0203,-77.1074,"ENTRADA TAXIS,CALLAO,CALLAO",CAG-444,False,Lima,2023-01-26,06:04,Hunter
CAJ-421,2023-01-26 18:36:51,-12.1214,-76.9995,"CALLE EL EUCALIPTO,SURQUILLO,LIMA",CAJ-421,False,Lima,2023-01-26,18:36,Hunter
CAP-113,2023-01-26 18:36:20,-12.1041,-77.0271,"AVENIDA PASEO DE LA REPUBLICA,SURQUILLO,LIMA",CAP-113,False,Lima,2023-01-26,18:36,Hunter
CAT-061,2023-01-26 18:36:49,-12.0972,-77.0129,"CALLE 21,SAN ISIDRO,LIMA",CAT-061,False,Lima,2023-01-26,18:36,Hunter
CAT-212,2023-01-26 18:03:27,-12.1261,-76.9911,"AVENIDA HIGUERETA,SANTIAGO DE SURCO,LIMA",CAT-212,False,Lima,2023-01-26,18:03,Hunter
CAT-502,2023-01-26 17:45:02,-12.1323,-77.0046,"JIRON PUERTO INKA,SANTIAGO DE SURCO,LIMA",CAT-502,False,Lima,2023-01-26,17:45,Hunter
CBB-111,2023-01-26 17:40:07,-12.1262,-76.9712,"LA CANTUTA,SANTIAGO DE SURCO,LIMA",CBB-111,False,Lima,2023-01-26,17:40,Hunter
CBB-150,2023-01-26 17:45:58,-11.9192,-77.1172,"(-11.9191,-77.1171),VENTANILLA,CALLAO",CBB-150,False,Lima,2023-01-26,17:45,Hunter
CBB-177,2023-01-26 18:34:39,-12.0147,-77.0812,"PASAJE 37,SAN MARTIN DE PORRES,LIMA",CBB-177,False,Lima,2023-01-26,18:34,Hunter
CBB-202,2023-01-09 14:25:28,-12.0853,-77.014,"AVENIDA NICOLAS ARRIOLA,LA VICTORIA,LIMA",CBB-202,False,Lima,2023-01-09,14:25,Hunter
CBB-331,2023-01-26 17:56:30,-12.1571,-76.995,"JIRON CMDTE. FAP. GUILLERMO BRENNERT,SANTIAGO DE SURCO,LIMA",CBB-331,False,Lima,2023-01-26,17:56,Hunter
CBD-179,2022-12-23 07:48:25,-12.1098,-77.0455,"CALLE VICTOR MAURTUA, ORRANTIA DEL MAR, SAN ISIDRO, LIMA, LIMA METROPOLITAN AREA, PERU",CBD-179,False,Lima,2022-12-23,07:48,Hunter
CBG-123,2023-01-26 14:21:15,-12.0775,-76.9661,"LAS CAMELIAS,LA MOLINA,LIMA",CBG-123,False,Lima,2023-01-26,14:21,Hunter
CBH-323,2023-01-26 18:35:53,-11.6086,-77.2182,"R-31,AUCALLAMA,LIMA",CBH-323,False,Lima,2023-01-26,18:35,Hunter
CBI-123,2023-01-26 18:07:57,-5.7484,-78.4506,"AVENIDA CHACHAPOYAS,BAGUA GRANDE,AMAZONAS",CBI-123,False,Amazonas,2023-01-26,18:07,Hunter
CBJ-002,2023-01-26 18:37:00,-11.7662,-77.1586,"PANAMERICANA NORTE,ANCON,LIMA",CBJ-002,False,Lima,2023-01-26,18:37,Hunter
CBL-091,2023-01-26 17:44:18,-12.0447,-76.9859,"C. ALEGRIA URUGUAY,EL AGUSTINO,LIMA",CBL-091,False,Lima,2023-01-26,17:44,Hunter
CBN-578,2023-01-26 13:52:47,-12.0869,-76.9716,0 / 0,CBN-578,False,Lima,2023-01-26,13:52,Hunter
CBZ-066,2023-01-26 17:47:23,-13.7423,-76.226,"(-13.7422,-76.2260),SAN ANDRES,ICA",CBZ-066,False,Ica,2023-01-26,17:47,Hunter
CCG-688,2023-01-26 17:54:50,-12.7777,-76.5973,"(-12.7776,-76.5972),ASIA,LIMA",CCG-688,False,Lima,2023-01-26,17:54,Hunter
CCM-324 [GENARO LIRA LIMA],2023-01-26 17:43:55,-12.1036,-76.9715,"AVENIDA EL POLO,SANTIAGO DE SURCO,LIMA",CCM-324,False,Lima,2023-01-26,17:43,Hunter
CCQ-287,2023-01-26 17:46:35,-12.0783,-77.0949,"AVENIDA LOS PATRIOTAS,SAN MIGUEL,LIMA",CCQ-287,False,Lima,2023-01-26,17:46,Hunter
CDB-397,2023-01-26 17:42:15,-8.1213,-79.04,"AVENIDA AMERICA SUR,TRUJILLO,LA LIBERTAD",CDB-397,False,La Libertad,2023-01-26,17:42,Hunter
M5R-032,2023-01-26 12:47:34,-6.8332,-79.9377,"(-6.8332,-79.9377),CHICLAYO,LAMBAYEQUE",M5R-032,False,Lambayeque,2023-01-26,12:47,Hunter
P3Z-180,2023-01-26 18:35:23,-6.83319,-79.9376,"(-6.8331,-79.9375),CHICLAYO,LAMBAYEQUE",P3Z-180,False,Lambayeque,2023-01-26,18:35,Hunter
Z7Z-925,2023-01-26 15:20:50,-11.8388,-77.1116,"AVENIDA NESTOR GAMBETTA,PUENTE PIEDRA,LIMA",Z7Z-925,False,Lima,2023-01-26,15:20,Hunter
BJU-718,2023-01-26 18:37:06,-10.5788,-76.1878,"CARRETERA LONGITUDINAL DE LA SIERRA NORTE (PE-3N), YANAPAMPA, YANACANCHA, PASCO, PERU",BJU-718,False,Pasco,2023-01-26,18:37,Hunter
BJS-715,2023-01-26 18:07:18,-10.6082,-76.2101,0 / 0,BJS-715,False,Pasco,2023-01-26,18:07,Hunter
BJS-716,2021-05-06 15:28:27,-10.6091,-76.2102,"PA-559, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJS-716,False,Pasco,2021-05-06,15:28,Hunter
BJS-740,2023-01-26 17:39:41,-10.5814,-76.1878,0 / 0,BJS-740,False,Pasco,2023-01-26,17:39,Hunter
BJS-748,2023-01-26 17:43:56,-10.6084,-76.2108,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJS-748,False,Pasco,2023-01-26,17:43,Hunter
BJS-870,2023-01-26 18:28:09,-10.6096,-76.2102,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJS-870,False,Pasco,2023-01-26,18:28,Hunter
BJS-871,2021-05-09 10:11:19,-10.6096,-76.2102,"PA-559, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJS-871,False,Pasco,2021-05-09,10:11,Hunter
BJT-772,2023-01-26 18:29:44,-10.6084,-76.2107,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJT-772,False,Pasco,2023-01-26,18:29,Hunter
BJT-777,2022-10-14 23:23:03,-12.1107,-77.0107,"JEAN PAUL SARTRE,SURQUILLO,LIMA",BJT-777,False,Lima,2022-10-14,23:23,Hunter
BJT-833,2023-01-26 18:14:29,-10.6084,-76.2107,0 / 0,BJT-833,False,Pasco,2023-01-26,18:14,Hunter
BJU-713,2023-01-26 18:33:38,-10.6095,-76.2102,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJU-713,False,Pasco,2023-01-26,18:33,Hunter
BJV-828,2023-01-26 18:28:07,-10.6095,-76.2102,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BJV-828,False,Pasco,2023-01-26,18:28,Hunter
BUL-601,2023-01-26 18:37:01,-11.8807,-77.0208,"AVENIDA TUPAC AMARU,CARABAYLLO,LIMA",BUL-601,False,Lima,2023-01-26,18:37,Hunter
BRE-819,2023-01-26 18:36:15,-10.6076,-76.2104,"PA-559, SAN JUAN DE MILPO, SAN FRANCISCO DE ASÍS DE YARUSYACÁN, PASCO, PERU",BRE-819,False,Pasco,2023-01-26,18:36,Hunter
